date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-08-07,2.383,0.6661641221577378,1.547,156.379,156.4873,"Aug 7, 17",154.2719,154.6558,21870321,21870321,155.5633
2017-08-08,1.2506,0.6794888323245153,0.8,157.6296,159.3528,"Aug 8, 17",155.8473,156.1722,36205896,36205896,158.0616
2017-08-09,0.964998,0.6897705733375812,0.612,158.5946,158.8014,"Aug 9, 17",156.6744,156.8221,26131530,26131530,158.0129
2017-08-10,-5.0515,0.635948589164004,-3.185,153.5431,158.1696,"Aug 10, 17",152.861,158.0707,40804273,40804273,155.5409
2017-08-11,2.1353,0.6586994716357133,1.391,155.6784,156.7587,"Aug 11, 17",154.2845,154.8085,26257096,26257096,155.704
2017-08-14,2.3429,0.683662260256969,1.505,158.0213,158.3772,"Aug 14, 17",156.9339,157.4974,22122734,22122734,157.7283
2017-08-15,1.73,0.7020948115031904,1.095,159.7513,160.3395,"Aug 15, 17",158.308,158.822,29465487,29465487,159.5608
2017-08-16,-0.642564,0.6952481309073397,-0.402,159.1087,160.6509,"Aug 16, 17",158.3179,160.0874,27671612,27671612,159.5433
2017-08-17,-3.0547,0.6627024251057742,-1.92,156.0541,158.8715,"Aug 17, 17",156.0343,158.6836,27940565,27940565,157.0901
2017-08-18,-0.355881,0.6589104337829244,-0.228,155.6982,157.6753,"Aug 18, 17",154.9271,156.0541,27428069,27428069,156.3696
2017-08-21,-0.286682,0.6558557445099231,-0.184,155.4115,156.0837,"Aug 21, 17",153.3356,155.6982,26368528,26368528,154.8296
2017-08-22,2.5406,0.6829249582071201,1.635,157.9521,158.1696,"Aug 22, 17",156.2122,156.4198,21604585,21604585,157.6963
2017-08-23,0.197711,0.6850313832830611,0.125,158.1498,158.6342,"Aug 23, 17",157.0624,157.2502,19399081,19399081,158.0317
2017-08-24,-0.701877,0.6775528817109671,-0.444,157.4479,158.9011,"Aug 24, 17",156.7362,158.5947,19818918,19818918,157.5957
2017-08-25,0.58325,0.6837677413305746,0.37,158.0312,158.7232,"Aug 25, 17",157.4479,157.8236,25480063,25480063,158.1049
2017-08-28,1.5916,0.7007256884770985,1.007,159.6228,160.1467,"Aug 28, 17",158.1004,158.308,25965972,25965972,159.4081
2017-08-29,1.4235,0.7158925883031079,0.892,161.0463,161.2539,"Aug 29, 17",158.1696,158.2684,29516910,29516910,160.3437
2017-08-30,0.434967,0.7205273627494122,0.27,161.4813,162.0151,"Aug 30, 17",160.7497,161.9261,27269584,27269584,161.3484
2017-08-31,0.642564,0.727372977879873,0.398,162.1238,162.6379,"Aug 31, 17",161.6098,161.7679,26785096,26785096,162.098
2017-09-01,0.049428,0.7278993177825109,0.03,162.1732,163.0531,"Sep 1, 17",161.758,162.9147,16591051,16591051,162.2436
2017-09-05,-1.9475,0.707150444778527,-1.201,160.2258,162.371,"Sep 5, 17",158.7232,161.8767,29536314,29536314,160.5148
2017-09-06,-0.168055,0.7053593974580128,-0.105,160.0577,161.1254,"Sep 6, 17",158.6836,160.8486,21651726,21651726,159.9002
2017-09-07,-0.642564,0.6985137823275518,-0.401,159.4152,160.3839,"Sep 7, 17",158.5255,160.2357,21928502,21928502,159.5525
2017-09-08,-2.5999,0.6708116821887217,-1.631,156.8152,159.3064,"Sep 8, 17",156.7164,159.0197,28611535,28611535,157.7098
